Produto,Cod. Produto,Ds. Cor,Ds. Tam,226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,240 - UK - RECIFE 3 - 240,242 - UK - RECIFE 4 - 242
PLATAFORMA CAMURCA VEG VELEZ I26,54421,AREIA,37,0.0,2.0,3.0,0.0
PLATAFORMA CAMURCA VEG VELEZ I26,54428,CARAMELO,36,3.0,0.0,0.0,2.0
PLATAFORMA CAMURCA VEG VELEZ I26,54429,CARAMELO,37,3.0,0.0,0.0,3.0
PLATAFORMA CAMURCA VEG VELEZ I26,54437,VINHO,37,3.0,3.0,1.0,2.0
PLATAFORMA NOBUCK VEG MARIANA V26,53391,CARAMELO,37,2.0,3.0,0.0,0.0
POCHETE NY SATIN 70359 I26,54884,VERDE,U,2.0,1.0,4.0,1.0
PORTA CELULAR NY SATIN 70564 I26,54872,VERDE,U,2.0,1.0,3.0,1.0
PORTA DOC COURO 70351 V26,53890,MARROM,U,0.0,0.0,3.0,1.0
PORTA PASSAPORTE COURO 70350 V26,52792,MARROM,U,0.0,0.0,3.0,1.0
RASTEIRA COURO GOLDEN V25,50110,OFF WHITE,34,0.0,3.0,0.0,0.0
RASTEIRA COURO GOLDEN V25,50331,PRETO,34,0.0,4.0,0.0,0.0
RASTEIRA COURO GOLDEN V26,53153,PRETO,35,0.0,3.0,0.0,0.0
RASTEIRA COURO GOLDEN V26,53160,GELO,35,3.0,0.0,0.0,0.0
RASTEIRA COURO RIVER V26,53708,OFF WHITE,36,3.0,3.0,0.0,0.0
RASTEIRA COURO RIVER V26,53715,PRATA,36,2.0,1.0,3.0,1.0
RASTEIRA COURO RIVER V26,53722,VERMELHO,36,2.0,0.0,0.0,3.0
RASTEIRA COURO RIVER V26,53723,VERMELHO,37,3.0,0.0,0.0,2.0
RASTEIRA NAPA VEG FISHY I26,54552,CARAMELO,36,2.0,3.0,0.0,2.0
RASTEIRA NAPA VEG FISHY I26,54553,CARAMELO,37,3.0,2.0,0.0,3.0
RASTEIRA NAPA VEG FISHY I26,54558,PRETO,36,3.0,2.0,0.0,3.0
RASTEIRA NAPA VEG FISHY I26,54559,PRETO,37,3.0,3.0,0.0,2.0
RASTEIRA NAPA VEG IKEBANA I26,54368,CARAMELO,37,2.0,1.0,1.0,3.0
RASTEIRA NAPA VEG IKEBANA I26,54373,MILITAR,36,2.0,1.0,3.0,3.0
RASTEIRA NAPA VEG QUINTA V26,53788,CAR/LAR/AMARE,35,3.0,0.0,0.0,0.0
RASTEIRA NAPA VEG WOOD V26,53509,BEGE,38,2.0,0.0,3.0,0.0
RASTEIRA NOBUCK VEG OASIS V26,53520,CARAMELO,35,0.0,3.0,1.0,1.0
RASTEIRA NOBUCK VEG OASIS V26,53528,MARINHO,36,0.0,1.0,3.0,0.0
RASTEIRA NOBUCK VEG SPIDER I26,54388,VINHO,36,2.0,3.0,1.0,1.0
RASTEIRA VEGGIE SPRING V26,53837,AMARE/AZ/VERM,37,2.0,0.0,0.0,3.0
RASTEIRA VEGGIE SPRING V26,53843,BEGE/CARAM,36,1.0,3.0,0.0,0.0
RASTEIRA VEGGIE SPRING V26,53850,PTO/MARROM,36,1.0,3.0,0.0,1.0
SANDALIA COURO RIFT I26,54494,PRETO,37,2.0,1.0,3.0,3.0
SANDALIA COURO RIFT I26,54501,MILITAR,37,2.0,3.0,2.0,1.0
SANDALIA COURO TOTIS I26,54515,CARAMELO,37,2.0,1.0,3.0,1.0
SANDALIA NEOPRENE MEDUSA I26,54564,CAFE,35,1.0,3.0,2.0,1.0
SANDALIA NEOPRENE MEDUSA I26,54565,CAFE,36,3.0,1.0,2.0,2.0
SANDALIA NEOPRENE MEDUSA I26,54567,CAFE,38,1.0,3.0,1.0,2.0
SANDALIA NEOPRENE MEDUSA I26,54572,CHARUTO,35,2.0,3.0,1.0,2.0
SANDALIA NEOPRENE MEDUSA I26,54575,CHARUTO,38,2.0,3.0,2.0,1.0
SANDALIA NEOPRENE TRIANON I26,54583,OFF WHITE,38,2.0,3.0,1.0,1.0
SANDALIA NEOPRENE TRIANON V26,53490,CARAMELO,34,0.0,3.0,0.0,0.0
SANDALIA NEOPRENE TRIANON V26,53499,VERDE,35,3.0,2.0,2.0,0.0
SANDALIA NEOPRENE TRIANON V26,53501,VERDE,37,3.0,1.0,0.0,0.0
SANDALIA NEOPRENE TRIANON V26,53502,VERDE,38,1.0,3.0,1.0,0.0
SAPATO NOBUCK VEG FRANCIS V25,50141,CARAMELO/OFF,36,0.0,3.0,0.0,0.0
SAPATO NOBUCK VEG FRANCIS V25,50142,CARAMELO/OFF,37,0.0,3.0,1.0,1.0
SAPATO NOBUCK VEG FRANCIS V25,50143,CARAMELO/OFF,38,0.0,3.0,1.0,1.0
TENIS COURO PHILLY I26,54408,CARAMELO,37,2.0,1.0,3.0,2.0
TENIS COURO RELAX I25,52613,BRANCO,35,0.0,2.0,3.0,0.0
TENIS COURO RIO I25,52183,OFF WHITE,35,2.0,0.0,3.0,0.0
TENIS NAPA VEG TK2 I26,54443,GELO,36,3.0,0.0,0.0,3.0
TENIS NAPA VEG TK2 I26,54444,GELO,37,3.0,0.0,0.0,3.0
TENIS NAPA VEG TK2 I26,54450,MARROM,36,0.0,3.0,3.0,0.0
TENIS NAPA VEG TK2 I26,54451,MARROM,37,0.0,3.0,3.0,0.0
TENIS VEGGIE KA V26,53405,MARROM,36,2.0,3.0,0.0,1.0
